=== seta sample 2026-09-14T01:00:45-04:00
[generator_gate] materialized SETA_Evolve/ask_ubuntu__568__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__568__d1
[generator_gate] materialized SETA_Synth/unix_linux_se__17257 -> /home/evan/gen-sets/seta/SETA_Synth/unix_linux_se__17257
[generator_gate] materialized SETA_Synth/kaggle_notebook__arezalo_diabetes-logistic-regression -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__arezalo_diabetes-logistic-regression
[generator_gate] materialized SETA_Synth/ask_ubuntu__66 -> /home/evan/gen-sets/seta/SETA_Synth/ask_ubuntu__66
[generator_gate] materialized SETA_Synth/nl2bash__894 -> /home/evan/gen-sets/seta/SETA_Synth/nl2bash__894
[generator_gate] materialized SETA_Synth/stack_overflow__45040312 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__45040312
[generator_gate] materialized SETA_Synth/kaggle_notebook__dirgahalimsusilo_klasifikasi-penyakit-jantung -> /home/evan/gen-sets/seta/SETA_Synth/kaggle_notebook__dirgahalimsusilo_klasifikasi-penyakit-jantung
[generator_gate] materialized SETA_Synth/unix_linux_se__83260 -> /home/evan/gen-sets/seta/SETA_Synth/unix_linux_se__83260
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1347__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1347__d1
[generator_gate] materialized SETA_Evolve/ask_ubuntu__1280__d1 -> /home/evan/gen-sets/seta/SETA_Evolve/ask_ubuntu__1280__d1
[generator_gate] materialized SETA_Synth/stack_overflow__12290023 -> /home/evan/gen-sets/seta/SETA_Synth/stack_overflow__12290023
[generator_gate] manifest data/gold/gen_gate_seta_manifest.json: N=4569 n=200 seed='gen-gate-seta-v0' tasks_on_disk=200
{
  "manifest": "data/gold/gen_gate_seta_manifest.json",
  "generator": "seta",
  "N": 4569,
  "n": 200,
  "seed": "gen-gate-seta-v0",
  "extract_dir": "/home/evan/gen-sets/seta-gate-extract/seta"
}
=== seta run 2026-09-14T01:00:49-04:00
[generator_gate] tasks=200 k=2 concurrency=3 resume_rows=0 done=0 budget_sec=86400
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-forecasting-with-machine-learning nop r0 status=executed reward=0.0 elapsed=135.0s remaining=86265s
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-forecasting-with-machine-learning nop r1 status=executed reward=0.0 elapsed=30.0s remaining=86235s
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-forecasting-with-machine-learning oracle r0 status=executed reward=1.0 elapsed=285.0s remaining=86115s
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-forecasting-with-machine-learning oracle r1 status=executed reward=1.0 elapsed=285.0s remaining=86115s
[generator_gate] SETA_Evolve/ask_ubuntu__1062__d1 oracle r0 status=executed reward=1.0 elapsed=70.0s remaining=86045s
[generator_gate] SETA_Evolve/ask_ubuntu__1062__d1 nop r0 status=executed reward=0.0 elapsed=70.0s remaining=86045s
[generator_gate] SETA_Evolve/ask_ubuntu__1062__d1 oracle r1 status=executed reward=1.0 elapsed=70.0s remaining=86045s
[generator_gate] SETA_Evolve/ask_ubuntu__1062__d1 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=86010s
[generator_gate] SETA_Synth/ask_ubuntu__466 oracle r0 status=executed reward=1.0 elapsed=40.0s remaining=85970s
[generator_gate] SETA_Synth/ask_ubuntu__466 oracle r1 status=executed reward=1.0 elapsed=40.0s remaining=85970s
[generator_gate] SETA_Synth/ask_ubuntu__466 nop r0 status=executed reward=0.0 elapsed=40.0s remaining=85970s
[generator_gate] SETA_Synth/ask_ubuntu__466 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=85940s
[generator_gate] SETA_Evolve/kaggle_notebook__nsrose7224_random-forest-regressor-accuracy-0-91__b1 nop r0 status=executed reward=0.0 elapsed=160.0s remaining=85780s
[generator_gate] SETA_Evolve/kaggle_notebook__nsrose7224_random-forest-regressor-accuracy-0-91__b1 nop r1 status=executed reward=0.0 elapsed=40.0s remaining=85740s
[generator_gate] SETA_Evolve/kaggle_notebook__nsrose7224_random-forest-regressor-accuracy-0-91__b1 oracle r1 status=executed reward=1.0 elapsed=830.0s remaining=85109s
[generator_gate] SETA_Evolve/kaggle_notebook__nsrose7224_random-forest-regressor-accuracy-0-91__b1 oracle r0 status=executed reward=1.0 elapsed=835.0s remaining=85104s
[generator_gate] SETA_Synth/stack_overflow__491376 nop r0 status=executed reward=0.0 elapsed=65.0s remaining=85039s
[generator_gate] SETA_Synth/stack_overflow__491376 oracle r0 status=executed reward=1.0 elapsed=70.0s remaining=85034s
[generator_gate] SETA_Synth/stack_overflow__491376 oracle r1 status=executed reward=1.0 elapsed=70.0s remaining=85034s
[generator_gate] SETA_Synth/stack_overflow__491376 nop r1 status=executed reward=0.0 elapsed=45.0s remaining=84994s
[generator_gate] SETA_Synth/stack_overflow__50392783 nop r0 status=executed reward=0.0 elapsed=65.0s remaining=84929s
[generator_gate] SETA_Synth/stack_overflow__50392783 oracle r1 status=executed reward=1.0 elapsed=70.0s remaining=84924s
[generator_gate] SETA_Synth/stack_overflow__50392783 oracle r0 status=executed reward=1.0 elapsed=70.0s remaining=84924s
[generator_gate] SETA_Synth/stack_overflow__50392783 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=84894s
[generator_gate] SETA_Synth/ask_ubuntu__559 oracle r1 status=executed reward=1.0 elapsed=55.0s remaining=84839s
[generator_gate] SETA_Synth/ask_ubuntu__559 nop r0 status=executed reward=0.0 elapsed=55.0s remaining=84839s
[generator_gate] SETA_Synth/ask_ubuntu__559 oracle r0 status=executed reward=1.0 elapsed=60.0s remaining=84834s
[generator_gate] SETA_Synth/ask_ubuntu__559 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=84809s
[generator_gate] SETA_Synth/stack_overflow__1013493 nop r0 status=executed reward=0.0 elapsed=40.0s remaining=84769s
[generator_gate] SETA_Synth/stack_overflow__1013493 oracle r0 status=executed reward=1.0 elapsed=40.0s remaining=84769s
[generator_gate] SETA_Synth/stack_overflow__1013493 oracle r1 status=executed reward=1.0 elapsed=40.0s remaining=84769s
[generator_gate] SETA_Synth/stack_overflow__1013493 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=84739s
[generator_gate] SETA_Synth/kaggle_notebook__melissamonfared_car-price-prediction-eda-linear-regression nop r0 status=executed reward=0.0 elapsed=75.0s remaining=84664s
[generator_gate] SETA_Synth/kaggle_notebook__melissamonfared_car-price-prediction-eda-linear-regression oracle r0 status=executed reward=1.0 elapsed=85.0s remaining=84654s
[generator_gate] SETA_Synth/kaggle_notebook__melissamonfared_car-price-prediction-eda-linear-regression oracle r1 status=executed reward=1.0 elapsed=85.0s remaining=84654s
[generator_gate] SETA_Synth/kaggle_notebook__melissamonfared_car-price-prediction-eda-linear-regression nop r1 status=executed reward=0.0 elapsed=25.0s remaining=84639s
[generator_gate] SETA_Evolve/unix_linux_se__3568__b1 nop r0 status=executed reward=0.0 elapsed=75.0s remaining=84564s
[generator_gate] SETA_Evolve/unix_linux_se__3568__b1 oracle r1 status=executed reward=1.0 elapsed=80.0s remaining=84559s
[generator_gate] SETA_Evolve/unix_linux_se__3568__b1 oracle r0 status=executed reward=1.0 elapsed=80.0s remaining=84559s
[generator_gate] SETA_Evolve/unix_linux_se__3568__b1 nop r1 status=executed reward=0.0 elapsed=25.0s remaining=84539s
[generator_gate] SETA_Synth/nl2bash__581 oracle r0 status=executed reward=1.0 elapsed=80.0s remaining=84458s
[generator_gate] SETA_Synth/nl2bash__581 oracle r1 status=executed reward=1.0 elapsed=80.0s remaining=84458s
[generator_gate] SETA_Synth/nl2bash__581 nop r0 status=executed reward=0.0 elapsed=80.0s remaining=84458s
[generator_gate] SETA_Synth/nl2bash__581 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=84423s
[generator_gate] SETA_Synth/nl2bash__641 oracle r0 status=executed reward=1.0 elapsed=75.0s remaining=84348s
[generator_gate] SETA_Synth/nl2bash__641 nop r0 status=executed reward=0.0 elapsed=75.0s remaining=84348s
[generator_gate] SETA_Synth/nl2bash__641 oracle r1 status=executed reward=1.0 elapsed=75.0s remaining=84348s
[generator_gate] SETA_Synth/nl2bash__641 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=84318s
[generator_gate] SETA_Synth/stack_overflow__54307225 oracle r0 status=executed reward=1.0 elapsed=75.0s remaining=84243s
[generator_gate] SETA_Synth/stack_overflow__54307225 nop r0 status=executed reward=0.0 elapsed=75.0s remaining=84243s
[generator_gate] SETA_Synth/stack_overflow__54307225 oracle r1 status=executed reward=1.0 elapsed=75.0s remaining=84243s
[generator_gate] SETA_Synth/stack_overflow__54307225 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=84208s
[generator_gate] SETA_Evolve/ask_ubuntu__160__d1 nop r0 status=executed reward=0.0 elapsed=70.0s remaining=84138s
[generator_gate] SETA_Evolve/ask_ubuntu__160__d1 oracle r1 status=executed reward=1.0 elapsed=75.0s remaining=84133s
[generator_gate] SETA_Evolve/ask_ubuntu__160__d1 oracle r0 status=executed reward=1.0 elapsed=75.0s remaining=84133s
[generator_gate] SETA_Evolve/ask_ubuntu__160__d1 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=84108s
[generator_gate] SETA_Evolve/ask_ubuntu__822__d1 oracle r0 status=executed reward=1.0 elapsed=85.0s remaining=84023s
[generator_gate] SETA_Evolve/ask_ubuntu__822__d1 oracle r1 status=executed reward=1.0 elapsed=85.0s remaining=84023s
[generator_gate] SETA_Evolve/ask_ubuntu__822__d1 nop r0 status=executed reward=0.0 elapsed=85.0s remaining=84023s
[generator_gate] SETA_Evolve/ask_ubuntu__822__d1 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=83988s
[generator_gate] SETA_Evolve/ask_ubuntu__915__b1 nop r0 status=executed reward=0.0 elapsed=75.0s remaining=83913s
[generator_gate] SETA_Evolve/ask_ubuntu__915__b1 oracle r0 status=executed reward=1.0 elapsed=75.0s remaining=83913s
[generator_gate] SETA_Evolve/ask_ubuntu__915__b1 oracle r1 status=executed reward=1.0 elapsed=75.0s remaining=83913s
[generator_gate] SETA_Evolve/ask_ubuntu__915__b1 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=83878s
[generator_gate] SETA_Synth/ask_ubuntu__657 oracle r0 status=executed reward=1.0 elapsed=45.0s remaining=83833s
[generator_gate] SETA_Synth/ask_ubuntu__657 oracle r1 status=executed reward=1.0 elapsed=45.0s remaining=83833s
[generator_gate] SETA_Synth/ask_ubuntu__657 nop r0 status=executed reward=0.0 elapsed=45.0s remaining=83833s
[generator_gate] SETA_Synth/ask_ubuntu__657 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=83803s
[generator_gate] SETA_Synth/ask_ubuntu__289 nop r0 status=executed reward=0.0 elapsed=35.0s remaining=83767s
[generator_gate] SETA_Synth/ask_ubuntu__289 oracle r0 status=executed reward=1.0 elapsed=40.0s remaining=83762s
[generator_gate] SETA_Synth/ask_ubuntu__289 oracle r1 status=executed reward=1.0 elapsed=40.0s remaining=83762s
[generator_gate] SETA_Synth/ask_ubuntu__289 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=83737s
[generator_gate] SETA_Evolve/ask_ubuntu__301__b1 oracle r1 status=executed reward=1.0 elapsed=110.0s remaining=83627s
[generator_gate] SETA_Evolve/ask_ubuntu__301__b1 oracle r0 status=executed reward=1.0 elapsed=110.0s remaining=83627s
[generator_gate] SETA_Evolve/ask_ubuntu__301__b1 nop r0 status=executed reward=0.0 elapsed=110.0s remaining=83627s
[generator_gate] SETA_Evolve/ask_ubuntu__301__b1 nop r1 status=executed reward=0.0 elapsed=40.0s remaining=83587s
[generator_gate] SETA_Evolve/ask_ubuntu__1127__b1 nop r0 status=executed reward=0.0 elapsed=95.0s remaining=83492s
[generator_gate] SETA_Evolve/ask_ubuntu__1127__b1 oracle r1 status=executed reward=1.0 elapsed=95.0s remaining=83492s
[generator_gate] SETA_Evolve/ask_ubuntu__1127__b1 oracle r0 status=executed reward=1.0 elapsed=100.0s remaining=83487s
[generator_gate] SETA_Evolve/ask_ubuntu__1127__b1 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=83457s
[generator_gate] prune after 20 tasks: images=0B builder=19560000000B
[generator_gate] SETA_Evolve/ask_ubuntu__1079__d1 oracle r0 status=executed reward=1.0 elapsed=150.0s remaining=83297s
[generator_gate] SETA_Evolve/ask_ubuntu__1079__d1 oracle r1 status=executed reward=1.0 elapsed=150.0s remaining=83297s
[generator_gate] SETA_Evolve/ask_ubuntu__1079__d1 nop r0 status=executed reward=0.0 elapsed=150.0s remaining=83297s
[generator_gate] SETA_Evolve/ask_ubuntu__1079__d1 nop r1 status=executed reward=0.0 elapsed=40.0s remaining=83257s
[generator_gate] SETA_Synth/stack_overflow__31201164 nop r0 status=executed reward=0.0 elapsed=120.0s remaining=83137s
[generator_gate] SETA_Synth/stack_overflow__31201164 oracle r0 status=executed reward=1.0 elapsed=125.0s remaining=83132s
[generator_gate] SETA_Synth/stack_overflow__31201164 oracle r1 status=executed reward=1.0 elapsed=125.0s remaining=83132s
[generator_gate] SETA_Synth/stack_overflow__31201164 nop r1 status=executed reward=0.0 elapsed=40.0s remaining=83097s
[generator_gate] SETA_Synth/ask_ubuntu__381 oracle r1 status=executed reward=1.0 elapsed=45.0s remaining=83051s
[generator_gate] SETA_Synth/ask_ubuntu__381 nop r0 status=executed reward=0.0 elapsed=45.0s remaining=83051s
[generator_gate] SETA_Synth/ask_ubuntu__381 oracle r0 status=executed reward=1.0 elapsed=45.0s remaining=83051s
[generator_gate] SETA_Synth/ask_ubuntu__381 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=83016s
[generator_gate] SETA_Synth/kaggle_notebook__prashant111_comprehensive-guide-on-feature-selection nop r0 status=executed reward=0.0 elapsed=85.0s remaining=82931s
[generator_gate] SETA_Synth/kaggle_notebook__prashant111_comprehensive-guide-on-feature-selection oracle r0 status=executed reward=1.0 elapsed=95.0s remaining=82921s
[generator_gate] SETA_Synth/kaggle_notebook__prashant111_comprehensive-guide-on-feature-selection oracle r1 status=executed reward=1.0 elapsed=95.0s remaining=82921s
[generator_gate] SETA_Synth/kaggle_notebook__prashant111_comprehensive-guide-on-feature-selection nop r1 status=executed reward=0.0 elapsed=30.0s remaining=82901s
[generator_gate] SETA_Synth/stack_overflow__41837767_1 nop r0 status=executed reward=0.0 elapsed=50.0s remaining=82851s
[generator_gate] SETA_Synth/stack_overflow__41837767_1 oracle r0 status=executed reward=1.0 elapsed=50.0s remaining=82851s
[generator_gate] SETA_Synth/stack_overflow__41837767_1 oracle r1 status=executed reward=1.0 elapsed=50.0s remaining=82851s
[generator_gate] SETA_Synth/stack_overflow__41837767_1 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=82821s
[generator_gate] SETA_Synth/stack_overflow__52625307 nop r0 status=executed reward=0.0 elapsed=95.0s remaining=82726s
[generator_gate] SETA_Synth/stack_overflow__52625307 oracle r0 status=executed reward=1.0 elapsed=100.0s remaining=82721s
[generator_gate] SETA_Synth/stack_overflow__52625307 oracle r1 status=executed reward=1.0 elapsed=100.0s remaining=82721s
[generator_gate] SETA_Synth/stack_overflow__52625307 nop r1 status=executed reward=0.0 elapsed=40.0s remaining=82686s
[generator_gate] SETA_Evolve/unix_linux_se__3052__b1 nop r0 status=executed reward=0.0 elapsed=70.0s remaining=82616s
[generator_gate] SETA_Evolve/unix_linux_se__3052__b1 oracle r0 status=executed reward=1.0 elapsed=70.0s remaining=82616s
[generator_gate] SETA_Evolve/unix_linux_se__3052__b1 oracle r1 status=executed reward=1.0 elapsed=70.0s remaining=82616s
[generator_gate] SETA_Evolve/unix_linux_se__3052__b1 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=82581s
[generator_gate] SETA_Synth/kaggle_notebook__nareshbhat_starter-guide-to-build-nlp-ml-model-in-pycaret nop r0 status=executed reward=0.0 elapsed=85.0s remaining=82496s
[generator_gate] SETA_Synth/kaggle_notebook__nareshbhat_starter-guide-to-build-nlp-ml-model-in-pycaret oracle r0 status=executed reward=1.0 elapsed=95.0s remaining=82486s
[generator_gate] SETA_Synth/kaggle_notebook__nareshbhat_starter-guide-to-build-nlp-ml-model-in-pycaret oracle r1 status=executed reward=1.0 elapsed=95.0s remaining=82486s
[generator_gate] SETA_Synth/kaggle_notebook__nareshbhat_starter-guide-to-build-nlp-ml-model-in-pycaret nop r1 status=executed reward=0.0 elapsed=25.0s remaining=82471s
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-linear-regression-with-time-series nop r0 status=executed reward=0.0 elapsed=80.0s remaining=82391s
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-linear-regression-with-time-series oracle r0 status=executed reward=1.0 elapsed=85.0s remaining=82386s
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-linear-regression-with-time-series oracle r1 status=executed reward=1.0 elapsed=85.0s remaining=82386s
[generator_gate] SETA_Synth/kaggle_notebook__ryanholbrook_exercise-linear-regression-with-time-series nop r1 status=executed reward=0.0 elapsed=30.0s remaining=82361s
[generator_gate] SETA_Synth/kaggle_notebook__marcovasquez_top-machine-learning-algorithms-beginner nop r0 status=executed reward=0.0 elapsed=75.0s remaining=82285s
[generator_gate] SETA_Synth/kaggle_notebook__marcovasquez_top-machine-learning-algorithms-beginner oracle r1 status=executed reward=1.0 elapsed=95.0s remaining=82265s
[generator_gate] SETA_Synth/kaggle_notebook__marcovasquez_top-machine-learning-algorithms-beginner oracle r0 status=executed reward=1.0 elapsed=95.0s remaining=82265s
[generator_gate] SETA_Synth/kaggle_notebook__marcovasquez_top-machine-learning-algorithms-beginner nop r1 status=executed reward=0.0 elapsed=35.0s remaining=82250s
[generator_gate] SETA_Synth/ask_ubuntu__785 nop r0 status=executed reward=0.0 elapsed=60.0s remaining=82190s
[generator_gate] SETA_Synth/ask_ubuntu__785 oracle r0 status=executed reward=1.0 elapsed=60.0s remaining=82190s
[generator_gate] SETA_Synth/ask_ubuntu__785 oracle r1 status=executed reward=1.0 elapsed=65.0s remaining=82185s
[generator_gate] SETA_Synth/ask_ubuntu__785 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=82160s
[generator_gate] SETA_Synth/nl2bash__720 nop r0 status=executed reward=0.0 elapsed=40.0s remaining=82120s
[generator_gate] SETA_Synth/nl2bash__720 oracle r0 status=executed reward=1.0 elapsed=45.0s remaining=82115s
[generator_gate] SETA_Synth/nl2bash__720 oracle r1 status=executed reward=1.0 elapsed=45.0s remaining=82115s
[generator_gate] SETA_Synth/nl2bash__720 nop r1 status=executed reward=0.0 elapsed=25.0s remaining=82095s
[generator_gate] SETA_Synth/stack_overflow__3988788 oracle r1 status=executed reward=1.0 elapsed=30.0s remaining=82065s
[generator_gate] SETA_Synth/stack_overflow__3988788 nop r0 status=executed reward=0.0 elapsed=30.0s remaining=82065s
[generator_gate] SETA_Synth/stack_overflow__3988788 oracle r0 status=executed reward=1.0 elapsed=35.0s remaining=82060s
[generator_gate] SETA_Synth/stack_overflow__3988788 nop r1 status=executed reward=0.0 elapsed=20.0s remaining=82045s
[generator_gate] SETA_Evolve/ask_ubuntu__549__b1 nop r0 status=executed reward=0.0 elapsed=70.0s remaining=81975s
[generator_gate] SETA_Evolve/ask_ubuntu__549__b1 oracle r0 status=executed reward=1.0 elapsed=70.0s remaining=81975s
[generator_gate] SETA_Evolve/ask_ubuntu__549__b1 oracle r1 status=executed reward=1.0 elapsed=75.0s remaining=81970s
[generator_gate] SETA_Evolve/ask_ubuntu__549__b1 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=81945s
[generator_gate] SETA_Evolve/ask_ubuntu__1144__d1 nop r0 status=executed reward=0.0 elapsed=75.0s remaining=81870s
[generator_gate] SETA_Evolve/ask_ubuntu__1144__d1 oracle r0 status=executed reward=1.0 elapsed=80.0s remaining=81865s
[generator_gate] SETA_Evolve/ask_ubuntu__1144__d1 oracle r1 status=executed reward=1.0 elapsed=80.0s remaining=81865s
[generator_gate] SETA_Evolve/ask_ubuntu__1144__d1 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=81840s
[generator_gate] SETA_Synth/nl2bash__678 oracle r1 status=executed reward=1.0 elapsed=80.0s remaining=81760s
[generator_gate] SETA_Synth/nl2bash__678 nop r0 status=executed reward=0.0 elapsed=80.0s remaining=81760s
[generator_gate] SETA_Synth/nl2bash__678 oracle r0 status=executed reward=1.0 elapsed=80.0s remaining=81760s
[generator_gate] SETA_Synth/nl2bash__678 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=81725s
[generator_gate] SETA_Synth/ask_ubuntu__1374 oracle r0 status=executed reward=1.0 elapsed=185.0s remaining=81539s
[generator_gate] SETA_Synth/ask_ubuntu__1374 oracle r1 status=executed reward=1.0 elapsed=185.0s remaining=81539s
[generator_gate] SETA_Synth/ask_ubuntu__1374 nop r0 status=executed reward=0.0 elapsed=185.0s remaining=81539s
[generator_gate] SETA_Synth/ask_ubuntu__1374 nop r1 status=executed reward=0.0 elapsed=40.0s remaining=81499s
[generator_gate] SETA_Synth/nl2bash__730 oracle r1 status=executed reward=1.0 elapsed=45.0s remaining=81454s
[generator_gate] SETA_Synth/nl2bash__730 oracle r0 status=executed reward=1.0 elapsed=45.0s remaining=81454s
[generator_gate] SETA_Synth/nl2bash__730 nop r0 status=executed reward=0.0 elapsed=45.0s remaining=81454s
[generator_gate] SETA_Synth/nl2bash__730 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=81424s
[generator_gate] SETA_Evolve/ask_ubuntu__737__b1 nop r0 status=executed reward=0.0 elapsed=45.0s remaining=81379s
[generator_gate] SETA_Evolve/ask_ubuntu__737__b1 oracle r1 status=executed reward=1.0 elapsed=50.0s remaining=81374s
[generator_gate] SETA_Evolve/ask_ubuntu__737__b1 oracle r0 status=executed reward=1.0 elapsed=50.0s remaining=81374s
[generator_gate] SETA_Evolve/ask_ubuntu__737__b1 nop r1 status=executed reward=0.0 elapsed=25.0s remaining=81354s
[generator_gate] SETA_Synth/stack_overflow__6833147 oracle r1 status=executed reward=1.0 elapsed=115.0s remaining=81239s
[generator_gate] SETA_Synth/stack_overflow__6833147 nop r0 status=executed reward=0.0 elapsed=115.0s remaining=81239s
[generator_gate] SETA_Synth/stack_overflow__6833147 oracle r0 status=executed reward=1.0 elapsed=115.0s remaining=81239s
[generator_gate] SETA_Synth/stack_overflow__6833147 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=81209s
[generator_gate] prune after 40 tasks: images=0B builder=16700000000B
[generator_gate] SETA_Synth/kaggle_notebook__minanabil11111212_heart-disease-logistics-regression-model nop r0 status=executed reward=0.0 elapsed=50.0s remaining=81147s
[generator_gate] SETA_Synth/kaggle_notebook__minanabil11111212_heart-disease-logistics-regression-model oracle r1 status=executed reward=1.0 elapsed=55.0s remaining=81142s
[generator_gate] SETA_Synth/kaggle_notebook__minanabil11111212_heart-disease-logistics-regression-model oracle r0 status=executed reward=1.0 elapsed=60.0s remaining=81137s
[generator_gate] SETA_Synth/kaggle_notebook__minanabil11111212_heart-disease-logistics-regression-model nop r1 status=executed reward=0.0 elapsed=30.0s remaining=81117s
[generator_gate] SETA_Synth/stack_overflow__34125 oracle r1 status=executed reward=1.0 elapsed=75.0s remaining=81042s
[generator_gate] SETA_Synth/stack_overflow__34125 oracle r0 status=executed reward=1.0 elapsed=75.0s remaining=81042s
[generator_gate] SETA_Synth/stack_overflow__34125 nop r0 status=executed reward=0.0 elapsed=75.0s remaining=81042s
[generator_gate] SETA_Synth/stack_overflow__34125 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=81012s
[generator_gate] SETA_Evolve/stack_overflow__12575990__d1 nop r0 status=executed reward=0.0 elapsed=70.0s remaining=80942s
[generator_gate] SETA_Evolve/stack_overflow__12575990__d1 oracle r0 status=executed reward=1.0 elapsed=70.0s remaining=80942s
[generator_gate] SETA_Evolve/stack_overflow__12575990__d1 oracle r1 status=executed reward=1.0 elapsed=70.0s remaining=80942s
[generator_gate] SETA_Evolve/stack_overflow__12575990__d1 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=80907s
[generator_gate] SETA_Synth/ask_ubuntu__397 oracle r1 status=executed reward=1.0 elapsed=40.0s remaining=80867s
[generator_gate] SETA_Synth/ask_ubuntu__397 oracle r0 status=executed reward=1.0 elapsed=40.0s remaining=80867s
[generator_gate] SETA_Synth/ask_ubuntu__397 nop r0 status=executed reward=0.0 elapsed=40.0s remaining=80867s
[generator_gate] SETA_Synth/ask_ubuntu__397 nop r1 status=executed reward=0.0 elapsed=35.0s remaining=80832s
[generator_gate] SETA_Evolve/stack_overflow__61690632__b1 nop r0 status=executed reward=0.0 elapsed=85.2s remaining=80746s
[generator_gate] SETA_Evolve/stack_overflow__61690632__b1 oracle r0 status=executed reward=1.0 elapsed=85.2s remaining=80746s
[generator_gate] SETA_Evolve/stack_overflow__61690632__b1 oracle r1 status=executed reward=1.0 elapsed=90.1s remaining=80741s
[generator_gate] SETA_Evolve/stack_overflow__61690632__b1 nop r1 status=executed reward=0.0 elapsed=40.1s remaining=80706s
[generator_gate] SETA_Synth/unix_linux_se__4034 nop r0 status=executed reward=0.0 elapsed=55.0s remaining=80651s
[generator_gate] SETA_Synth/unix_linux_se__4034 oracle r0 status=executed reward=1.0 elapsed=85.1s remaining=80621s
[generator_gate] SETA_Synth/unix_linux_se__4034 oracle r1 status=executed reward=1.0 elapsed=85.1s remaining=80621s
[generator_gate] SETA_Synth/unix_linux_se__4034 nop r1 status=executed reward=0.0 elapsed=30.1s remaining=80621s
[generator_gate] SETA_Synth/kaggle_notebook__foxtreme_linear-regression-practice nop r0 status=executed reward=0.0 elapsed=100.0s remaining=80520s
[generator_gate] SETA_Synth/kaggle_notebook__foxtreme_linear-regression-practice oracle r1 status=executed reward=1.0 elapsed=120.1s remaining=80500s
[generator_gate] SETA_Synth/kaggle_notebook__foxtreme_linear-regression-practice oracle r0 status=executed reward=1.0 elapsed=120.2s remaining=80500s
[generator_gate] SETA_Synth/kaggle_notebook__foxtreme_linear-regression-practice nop r1 status=executed reward=0.0 elapsed=35.2s remaining=80485s
[generator_gate] SETA_Synth/ask_ubuntu__82 nop r0 status=executed reward=0.0 elapsed=35.1s remaining=80449s
[generator_gate] SETA_Synth/ask_ubuntu__82 oracle r1 status=executed reward=1.0 elapsed=40.1s remaining=80444s
[generator_gate] SETA_Synth/ask_ubuntu__82 oracle r0 status=executed reward=1.0 elapsed=45.0s remaining=80439s
[generator_gate] SETA_Synth/ask_ubuntu__82 nop r1 status=executed reward=0.0 elapsed=40.2s remaining=80409s
[generator_gate] SETA_Evolve/stack_overflow__750032__b1 oracle r0 status=executed reward=1.0 elapsed=40.0s remaining=80369s
[generator_gate] SETA_Evolve/stack_overflow__750032__b1 nop r0 status=executed reward=0.0 elapsed=40.0s remaining=80369s
[generator_gate] SETA_Evolve/stack_overflow__750032__b1 oracle r1 status=executed reward=1.0 elapsed=40.0s remaining=80369s
[generator_gate] SETA_Evolve/stack_overflow__750032__b1 nop r1 status=executed reward=0.0 elapsed=30.0s remaining=80339s
[generator_gate] SETA_Evolve/stack_overflow__471026__b1 nop r0 status=executed reward=0.0 elapsed=65.3s remaining=80273s
[generator_gate] SETA_Evolve/stack_overflow__471026__b1 oracle r0 status=executed reward=1.0 elapsed=70.1s remaining=80269s
[generator_gate] SETA_Evolve/stack_overflow__471026__b1 oracle r1 status=executed reward=1.0 elapsed=70.3s remaining=80268s
